national_number,gen,Name,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,gigantamax,mega_evolution,mega_evolution_alt
150,I,Mewtwo,psychic,,,,2.0,122.0,3,30720,106,110,90,154,90,130,Pressure,,,Unnerve,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0,1,0,,Mega Mewtwo X,Mega Mewtwo Y
249,II,Lugia,psychic,flying,,,5.2,216.0,3,30720,106,90,130,90,154,110,Pressure,,,Multiscale,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0,1,0,,,
250,II,Ho-Oh,fire,flying,,,3.8,199.0,3,30720,106,130,90,110,154,90,Pressure,,,Regenerator,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,0,1,0,,,
382,III,Kyogre,water,,,,4.5,352.0,3,30720,100,100,90,150,140,90,Drizzle,,,,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,1,0,,,
383,III,Groudon,ground,,,,3.5,950.0,3,30720,100,150,140,100,90,90,Drought,,,,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,1,0,,,
384,III,Rayquaza,dragon,flying,,,7.0,206.5,45,30720,105,150,90,150,90,95,Air Lock,,,,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,0,1,0,,Mega Rayquaza,
483,IV,Dialga,steel,dragon,,,5.4,683.0,3,30720,100,120,120,150,100,90,Pressure,,,Telepathy,0.5,1.0,0.5,0.5,0.25,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0,1,0,,,
484,IV,Palkia,water,dragon,,,4.2,336.0,3,30720,90,120,100,150,120,100,Pressure,,,Telepathy,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,0,1,0,,,
487,IV,Giratina,ghost,dragon,,,4.5,750.0,3,30720,150,100,120,100,120,90,Pressure,Levitate (Origin Forme),,Telepathy,0.0,0.5,0.5,0.5,0.5,2.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,2.0,2.0,1.0,2.0,0,1,0,,,
643,V,Reshiram,dragon,fire,,,3.2,330.0,3,30720,100,120,100,150,120,90,Turboblaze,,,,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,0,1,0,,,
