national_number,gen,Name,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,gigantamax,mega_evolution,mega_evolution_alt
1,I,Bulbasaur,grass,poison,88.14,11.86,0.7,6.9,45,5120,45,49,49,65,65,45,Overgrow,,,Chlorophyll,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
2,I,Ivysaur,grass,poison,88.14,11.86,1.0,13.0,45,5120,60,62,63,80,80,60,Overgrow,,,Chlorophyll,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
3,I,Venusaur,grass,poison,88.14,11.86,2.0,100.0,45,5120,80,82,83,100,100,80,Overgrow,,,Chlorophyll,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,Gigantamax Venusaur,Mega Venusaur,
4,I,Charmander,fire,,88.14,11.86,0.6,8.5,45,5120,39,52,43,60,50,65,Blaze,,,Solar Power,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
5,I,Charmeleon,fire,,88.14,11.86,1.1,19.0,45,5120,58,64,58,80,65,80,Blaze,,,Solar Power,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
6,I,Charizard,fire,flying,88.14,11.86,1.7,90.5,45,5120,78,84,78,109,85,100,Blaze,,,Solar Power,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,0,0,0,Gigantamax Charizard,Mega Charizard X,Mega Charizard Y
7,I,Squirtle,water,,88.14,11.86,0.5,9.0,45,5120,44,48,65,50,64,43,Torrent,,,Rain Dish,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
8,I,Wartortle,water,,88.14,11.86,1.0,22.5,45,5120,59,63,80,65,80,58,Torrent,,,Rain Dish,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
9,I,Blastoise,water,,88.14,11.86,1.6,85.5,45,5120,79,83,100,85,105,78,Torrent,,,Rain Dish,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Gigantamax Blastoise,Mega Blastoise,
10,I,Caterpie,bug,,50.2,49.8,0.3,2.9,255,3840,45,30,35,20,20,45,Shield Dust,,,Run Away,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
11,I,Metapod,bug,,50.2,49.8,0.7,9.9,120,3840,50,20,55,25,25,30,Shed Skin,,,,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
12,I,Butterfree,bug,flying,50.2,49.8,1.1,32.0,45,3840,60,45,50,90,80,70,Compoundeyes,,,Tinted Lens,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Gigantamax Butterfree,,
13,I,Weedle,bug,poison,50,50,0.3,3.2,255,3840,40,35,30,20,20,50,Shield Dust,,,Run Away,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
14,I,Kakuna,bug,poison,50,50,0.6,10.0,120,3840,45,25,50,25,25,35,Shed Skin,,,,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
15,I,Beedrill,bug,poison,50,50,1.0,29.5,45,3840,65,90,40,45,80,75,Swarm,,,Sniper,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,Mega Beedrill,
16,I,Pidgey,normal,flying,50,50,0.3,1.8,255,3840,40,45,40,35,35,56,Keen Eye,Tangled Feet,,Big Pecks,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
17,I,Pidgeotto,normal,flying,50,50,1.1,30.0,120,3840,63,60,55,50,50,71,Keen Eye,Tangled Feet,,Big Pecks,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
18,I,Pidgeot,normal,flying,50,50,1.5,39.5,45,3840,83,80,75,70,70,101,Keen Eye,Tangled Feet,,Big Pecks,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,Mega Pidgeot,
19,I,Rattata,normal,dark,50,50,0.3,3.5,255,3840,30,56,35,25,35,72,Run Away,Guts,,Hustle,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
20,I,Raticate,normal,dark,50,50,0.7,18.5,127,3840,55,81,60,50,70,97,Run Away,Guts,,Hustle,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
21,I,Spearow,normal,flying,50,50,0.3,2.0,255,3840,40,60,30,31,31,70,Keen Eye,,,Sniper,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
22,I,Fearow,normal,flying,50,50,1.2,38.0,90,3840,65,90,65,61,61,100,Keen Eye,,,Sniper,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0,0,0,,,
23,I,Ekans,poison,,50,50,2.0,6.9,255,5120,35,60,44,40,54,55,Intimidate,Shed Skin,,Unnerve,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
24,I,Arbok,poison,,50,50,3.5,65.0,90,5120,60,95,69,65,79,80,Intimidate,Shed Skin,,Unnerve,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
25,I,Pikachu,electric,,50.2,49.8,0.4,6.0,190,2560,35,55,40,50,50,90,Static,,,Lightning Rod,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,Gigantamax Pikachu,,
26,I,Raichu,electric,electric,50.2,49.8,0.8,30.0,75,2560,60,90,55,90,80,110,Static,Surge Surfer (Alola Form),,Lightning Rod,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,0,0,,,
27,I,Sandshrew,ground,ice,50.2,49.8,0.6,12.0,255,5120,50,75,85,20,30,40,Sand Veil,,,Snow Cloak- Slush Rush,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
28,I,Sandslash,ground,ice,50.2,49.8,1.0,29.5,90,5120,75,100,110,45,55,65,Sand Veil,,,Snow Cloak- Slush Rush,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0,0,0,,,
29,I,Nidoran♀,poison,,0,100,0.4,7.0,235,5120,55,47,52,40,40,41,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
30,I,Nidorina,poison,,0,100,0.8,20.0,120,5120,70,62,67,55,55,56,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
31,I,Nidoqueen,poison,ground,0,100,1.3,60.0,45,5120,90,92,87,75,85,76,Poison Point,Rivalry,,Sheer Force,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
32,I,Nidoran♂,poison,,100,0,0.5,9.0,235,5120,46,57,40,40,40,50,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
33,I,Nidorino,poison,,100,0,0.9,19.5,120,5120,61,72,57,55,55,65,Poison Point,Rivalry,,Hustle,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
34,I,Nidoking,poison,ground,100,0,1.4,62.0,45,5120,81,102,77,85,75,85,Poison Point,Rivalry,,Sheer Force,1.0,1.0,2.0,0.0,1.0,2.0,0.5,0.25,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
35,I,Clefairy,fairy,,24.9,75.1,0.6,7.5,150,2560,70,45,48,60,65,35,Cute Charm,Magic Guard,,Friend Guard,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,,,
36,I,Clefable,fairy,,24.9,75.1,1.3,40.0,25,2560,95,70,73,95,90,60,Cute Charm,Magic Guard,,Unaware,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0,0,0,,,
37,I,Vulpix,fire,ice,24.9,75.1,0.6,9.9,190,5120,38,41,40,50,65,65,Flash Fire,,,Snow Cloak- Snow Warning,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
38,I,Ninetales,fire,ice,24.9,75.1,1.1,19.9,75,5120,73,76,75,81,100,100,Flash Fire,,,Snow Cloak- Snow Warning,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0,0,0,,,
39,I,Jigglypuff,normal,fairy,24.9,75.1,0.5,5.5,170,2560,115,45,20,45,25,20,Cute Charm,Competitive,,Friend Guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,0,0,,,
40,I,Wigglytuff,normal,fairy,24.9,75.1,1.0,12.0,50,2560,140,70,45,85,50,45,Cute Charm,Competitive,,Frisk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0,0,0,,,
41,I,Zubat,poison,flying,50.2,49.8,0.8,7.5,255,3840,40,45,35,30,40,55,Inner Focus,,,Infiltrator,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
42,I,Golbat,poison,flying,50.2,49.8,1.6,55.0,90,3840,75,80,70,65,75,90,Inner Focus,,,Infiltrator,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
43,I,Oddish,grass,poison,50.2,49.8,0.5,5.4,255,5120,45,50,55,75,65,30,Chlorophyll,,,Run Away,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
44,I,Gloom,grass,poison,50.2,49.8,0.8,8.6,120,5120,60,65,70,85,75,40,Chlorophyll,,,Stench,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0,0,0,,,
