national_number,gen,Name,primary_type,secondary_type,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,is_sublegendary,is_legendary,is_mythical,gigantamax,mega_evolution,mega_evolution_alt
144,I,Articuno,ice,flying,,,1.7,55.4,3,20480,90,85,100,95,125,85,Pressure,Competitive (Galarian Form),,Snow Cloak,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,1,0,0,,,
145,I,Zapdos,electric,flying,,,1.6,52.6,3,20480,90,90,85,125,90,100,Pressure,Defiant (Galarian Form),,Static,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1,0,0,,,
146,I,Moltres,fire,flying,,,2.0,60.0,3,20480,90,100,90,125,85,90,Pressure,Berserk (Galarian Form),,Flame Body,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,1,0,0,,,
243,II,Raikou,electric,,,,1.9,178.0,3,20480,90,85,75,115,100,115,Pressure,,,Inner Focus,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,,,
244,II,Entei,fire,,,,2.1,198.0,3,20480,115,115,85,90,75,100,Pressure,,,Inner Focus,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1,0,0,,,
245,II,Suicune,water,,,,2.0,187.0,3,20480,100,75,115,90,115,85,Pressure,,,Inner Focus,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1,0,0,,,
377,III,Regirock,rock,,,,1.7,230.0,3,20480,80,100,200,50,100,50,Clear Body,,,Sturdy,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,0,0,,,
378,III,Regice,ice,,,,1.8,175.0,3,20480,80,50,100,100,200,50,Clear Body,,,Ice Body,1.0,2.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1,0,0,,,
379,III,Registeel,steel,,,,1.9,205.0,3,20480,80,75,150,75,150,50,Clear Body,,,Light Metal,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1,0,0,,,
380,III,Latias,dragon,psychic,0,100,1.4,40.0,3,30720,80,80,90,110,130,110,Levitate,,,,1.0,0.5,0.5,0.5,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1,0,0,,Mega Latias,
381,III,Latios,dragon,psychic,100,0,2.0,60.0,3,30720,80,90,80,130,110,110,Levitate,,,,1.0,0.5,0.5,0.5,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1,0,0,,Mega Latios,
480,IV,Uxie,psychic,,,,0.3,0.3,3,20480,75,75,130,75,130,95,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,,,
481,IV,Mesprit,psychic,,,,0.3,0.3,3,20480,80,105,105,105,105,80,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,,,
482,IV,Azelf,psychic,,,,0.3,0.3,3,20480,75,125,70,125,70,115,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,,,
485,IV,Heatran,fire,steel,50.2,49.8,1.7,430.0,3,2560,91,90,106,130,106,77,Flash Fire,,,Flame Body,0.5,1.0,2.0,1.0,0.25,0.25,2.0,0.0,4.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.25,0.25,1,0,0,,,
486,IV,Regigigas,normal,,,,3.7,420.0,3,30720,110,160,110,80,110,100,Slow Start,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,,,
488,IV,Cresselia,psychic,,0,100,1.5,85.6,3,30720,120,70,120,75,130,85,Levitate,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,0,0,,,
638,V,Cobalion,steel,fighting,,,2.1,250.0,3,20480,91,90,129,90,72,108,Justified,,,,0.5,2.0,1.0,1.0,0.5,0.5,2.0,0.0,2.0,1.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,1.0,1,0,0,,,
639,V,Terrakion,rock,fighting,,,1.9,260.0,3,20480,91,129,90,72,90,108,Justified,,,,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,2.0,2.0,1,0,0,,,
640,V,Virizion,grass,fighting,,,2.0,200.0,3,20480,91,90,72,90,129,108,Justified,,,,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1,0,0,,,
641,V,Tornadus,flying,,100,0,1.5,63.0,3,30720,79,115,70,125,80,111,Prankster,Regenerator (Therian Forme),,Defiant,1.0,1.0,1.0,2.0,0.5,2.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1,0,0,,,
642,V,Thundurus,electric,flying,100,0,1.5,61.0,3,30720,79,115,70,125,80,111,Prankster,Volt Absorb (Therian Forme),,Defiant,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1,0,0,,,
645,V,Landorus,ground,flying,100,0,1.5,68.0,3,30720,89,125,90,115,80,101,Sand Force,Intimidate (Therian Forme),,Sheer Force,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,,,
772,VII,Type: Null,normal,,,,1.9,120.5,3,30720,95,95,95,95,95,59,Battle Armor,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,0,0,,,
